name,party,state
Daniela do Waguinho,MDB,Rio de Janeiro
Delegado Antônio Furtado,PSL,Rio de Janeiro
Dr. Luizinho,PP,Rio de Janeiro
Felício Laterça,PSL,Rio de Janeiro
Flordelis,PSD,Rio de Janeiro
Gelson Azevedo,PHS,Rio de Janeiro
Glauber Braga,PSOL,Rio de Janeiro
Gutemberg Reis,MDB,Rio de Janeiro
Helio Fernando Barbosa Lopes,PSL,Rio de Janeiro
Hugo Leal,PSD,Rio de Janeiro
Jandira Feghali,PC do B,Rio de Janeiro
David Miranda,PSOL,Rio de Janeiro
Juninho do Pneu,DEM,Rio de Janeiro
Lourival Gomes,PSL,Rio de Janeiro
Luiz Antônio,DC,Rio de Janeiro
Luiz Lima ,PSL,Rio de Janeiro
Major Fabiana,PSL,Rio de Janeiro
Marcelo Calero,PPS,Rio de Janeiro
Marcelo Freixo,PSOL,Rio de Janeiro
Márcio Labre,PSL,Rio de Janeiro
Otoni de Paula,PSC,Rio de Janeiro
Paulo Ganime,NOVO,Rio de Janeiro
Paulo Ramos,PDT,Rio de Janeiro
Pedro Paulo,DEM,Rio de Janeiro
Professor Joziel,PSL,Rio de Janeiro
Rodrigo Maia,DEM,Rio de Janeiro
Rosangela Gomes ,PRB,Rio de Janeiro
Sargento Gurgel,PSL,Rio de Janeiro
Soraya Santos,PR,Rio de Janeiro
Sóstenes,DEM,Rio de Janeiro
Talíria Petrone,PSOL,Rio de Janeiro
Vinícius Farah,MDB,Rio de Janeiro
Jorge Braz,PRB,Rio de Janeiro
Wladimir Garotinho,PRP,Rio de Janeiro
Benes Leocadio,PTC,Rio Grande do Norte
Fábio Faria,PSD,Rio Grande do Norte
General Girao,PSL,Rio Grande do Norte
João Maia,PR,Rio Grande do Norte
Beto Rosado,PP,Rio Grande do Norte
Natalia Bonavides,PT,Rio Grande do Norte
Rafael Motta,PSB,Rio Grande do Norte
Walter Alves,MDB,Rio Grande do Norte
Afonso Hamm,PP,Rio Grande do Sul
Afonso Motta,PDT,Rio Grande do Sul
Alceu Moreira,MDB,Rio Grande do Sul
Bibo Nunes,PSL,Rio Grande do Sul
Bohn Gass,PT,Rio Grande do Sul
Carlos Gomes,PRB,Rio Grande do Sul
Covatti Filho,PP,Rio Grande do Sul
Daniel da TV,PSDB,Rio Grande do Sul
Danrlei de Deus Goleiro,PSD,Rio Grande do Sul
Fernanda Melchionna,PSOL,Rio Grande do Sul
Giovani Cherini,PR,Rio Grande do Sul
Giovani Feltes,MDB,Rio Grande do Sul
Heitor Schuch,PSB,Rio Grande do Sul
Henrique Fontana,PT,Rio Grande do Sul
Jerônimo Goergen,PP,Rio Grande do Sul
Liziane Bayer,PSB,Rio Grande do Sul
Lucas Redecker,PSDB,Rio Grande do Sul
Marcel Van Hattem,NOVO,Rio Grande do Sul
Marcelo Moraes,PTB,Rio Grande do Sul
Márcio Biolchi,MDB,Rio Grande do Sul
Marcon,PT,Rio Grande do Sul
Maria do Rosário,PT,Rio Grande do Sul
Marlon Santos,PDT,Rio Grande do Sul
Maurício Dziedricki,PTB,Rio Grande do Sul
Nereu Crispin,PSL,Rio Grande do Sul
Onyx Lorenzoni,DEM,Rio Grande do Sul
Osmar Terra,MDB,Rio Grande do Sul
Paulo Pimenta,PT,Rio Grande do Sul
Pedro Westphalen,PP,Rio Grande do Sul
Pompeo de Mattos,PDT,Rio Grande do Sul
Sanderson Federal,PSL,Rio Grande do Sul
Coronel Chrisóstomo,PSL,Rondônia
Dr. Mauro Nazif,PSB,Rondônia
Expedito Netto,PSD,Rondônia
Jaqueline Cassol,PP,Rondônia
Léo Moraes,PODE,Rondônia
Lucio Mosquini,MDB,Rondônia
Mariana Carvalho,PSDB,Rondônia
Silvia Cristina,PDT,Rondônia
Dr. Hiran Gonçalves,PP,Roraima
Edio Lopes,PR,Roraima
Haroldo Cathedral,PSD,Roraima
Jhonatan de Jesus,PRB,Roraima
Joenia Wapichana,REDE,Roraima
Nicoletti,PSL,Roraima
Otaci,SD,Roraima
Shéridan,PSDB,Roraima
Angela Amin,PP,Santa Catarina
Carlos Chiodini,MDB,Santa Catarina
Carmen Zanotto,PPS,Santa Catarina
Caroline de Toni,PSL,Santa Catarina
Celso Maldaner,MDB,Santa Catarina
Coronel Armando,PSL,Santa Catarina
Daniel Freitas,PSL,Santa Catarina
Darci de Matos,PSD,Santa Catarina
Fabio Schiochet,PSL,Santa Catarina
Geovania de Sá,PSDB,Santa Catarina
Gilson Marques,NOVO,Santa Catarina
Hélio Costa,PRB,Santa Catarina
Peninha,MDB,Santa Catarina
Professor Pedro Uczai,PT,Santa Catarina
Ricardo Guidi,PSD,Santa Catarina
Rodrigo Coelho,PSB,Santa Catarina
Abou Anni,PSL,São Paulo
Adriana Ventura,NOVO,São Paulo
Alencar Santana,PT,São Paulo
Alex Manente,PPS,São Paulo
Alexandre Frota,PSL,São Paulo
Alexandre Leite,DEM,São Paulo
Alexandre Padilha,PT,São Paulo
Alexis,NOVO,São Paulo
Arlindo Chinaglia,PT,São Paulo
Arnaldo Jardim,PPS,São Paulo
Baleia Rossi,MDB,São Paulo
Bruna Furlan,PSDB,São Paulo
Capitão Augusto,PR,São Paulo
Carla Zambelli,PSL,São Paulo
Carlos Sampaio,PSDB,São Paulo
Carlos Zarattini,PT,São Paulo
Celso Russomano,PRB,São Paulo
Cezinha de Madureira,PSD,São Paulo
Coronel Tadeu,PSL,São Paulo
David Soares,DEM,São Paulo
Eduardo Bolsonaro,PSL,São Paulo
Eduardo Cury,PSDB,São Paulo
Eli Corrêa Filho,DEM,São Paulo
Enrico Misasi,PV,São Paulo
Fausto Pinato,PP,São Paulo
General Peternelli,PSL,São Paulo
Geninho Zuliani,DEM,São Paulo
Gilberto Nascimento,PSC,São Paulo
Guiga Peixoto,PSL,São Paulo
Guilherme Mussi,PP,São Paulo
Herculano Passos,MDB,São Paulo
Ivan Valente,PSOL,São Paulo
Jefferson Campos,PSB,São Paulo
Joice Hasselmann,PSL,São Paulo
Junior Bozzella,PSL,São Paulo
Kim Kataguiri,DEM,São Paulo
Luiz Carlos Motta,PR,São Paulo
Luiz Philippe O. Bragança,PSL,São Paulo
Luiza Erundina,PSOL,São Paulo
Marcio Alvino,PR,São Paulo
Marco Bertaiolli,PSD,São Paulo
Marcos Pereira,PRB,São Paulo
Maria Rosas,PRB,São Paulo
Miguel Lombardi,PR,São Paulo
Milton Vieira,PRB,São Paulo
Nilto Tatto,PT,São Paulo
Orlando Silva,PC do B,São Paulo
Pastor Marco Feliciano,PODE,São Paulo
Paulinho da Força,SD,São Paulo
Paulo Freire Costa,PR,São Paulo
Paulo Teixeira,PT,São Paulo
Policial Katia Sastre,PR,São Paulo
Professor Luiz Flavio Gomes,PSB,São Paulo
Renata Abreu,PODE,São Paulo
Ricardo Izar,PP,São Paulo
Roberto Alves,PRB,São Paulo
Roberto de Lucena,PODE,São Paulo
Rodrigo Agostinho,PSB,São Paulo
Rosana Valle,PSB,São Paulo
Rui Falcão,PT,São Paulo
Sâmia Bomfim,PSOL,São Paulo
Samuel Moreira,PSDB,São Paulo
Tabata Amaral,PDT,São Paulo
Tenente Derrite,PP,São Paulo
Tiririca,PR,São Paulo
Vanderlei Macris,PSDB,São Paulo
Vicentinho,PT,São Paulo
Vinicius Carvalho,PRB,São Paulo
Vinicius Poit,NOVO,São Paulo
Vitor Lippi,PSDB,São Paulo
Bosco Costa,PR,Sergipe
Fábio Henrique,PDT,Sergipe
Fábio Mitidieri,PSD,Sergipe
Fabio Reis,MDB,Sergipe
Gustinho Ribeiro,SD,Sergipe
Joao Daniel,PT,Sergipe
Laercio Oliveira,PP,Sergipe
Valdevan Noventa,PSC,Sergipe
Carlos Henrique Gaguim,DEM,Tocantins
Celio Moura,PT,Tocantins
Dulce Miranda,MDB,Tocantins
Eli Borges,SD,Tocantins
Osires Damaso,PSC,Tocantins
Professora Dorinha,DEM,Tocantins
Tiago Dimas,SD,Tocantins
Vicentinho Junior,PR,Tocantins
